Porcine reproductive and respiratory syndrome virus strain SXSZ-2020, complete genome
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-23 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-24 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-25 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-26 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-27 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-28 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-30 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-31 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-32 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-33 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-34 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-35 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-36 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-37 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-38 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-39 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-40 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-41 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-42 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-43 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-44 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-45 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-46 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-47 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-48 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-49 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-50 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-51 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-52 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-53 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-54 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-55 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-56 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-57 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-58 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-59 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-60 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-61 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-62 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-63 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-64 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-65 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-66 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-67 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-68 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-69 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-70 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-71 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-72 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-73 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-74 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-75 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-76 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-77 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-78 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-79 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-80 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-81 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-82 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-83 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-84 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-85 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-86 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-87 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-88 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-89 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-90 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-91 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-92 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-93 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-94 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-95 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-96 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-97 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-98 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-99 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-100 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-101 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-102 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-103 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-104 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-105 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-106 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-107 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-108 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-109 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-110 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-111 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-112 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-113 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-114 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2016-115 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-4 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-5 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-6 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-7 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-8 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-9 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-10 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-12 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-13 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-14 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-15 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-S-2016-16 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-4 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-5 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-W-2016-6 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-4 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-5 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-6 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-7 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-8 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-9 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-10 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-11 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-12 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-13 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-14 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-15 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-V-2016-16 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-1 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-2 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-3 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-4 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-5 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-6 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-7 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-8 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-9 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-10 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-11 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-12 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-13 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-14 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-15 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-16 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-17 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-18 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-19 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-20 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-21 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-22 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-23 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-24 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-25 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-26 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-27 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-28 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-29 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-30 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-31 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-32 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-33 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-34 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-35 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-39 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-40 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-42 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-43 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-44 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-45 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-46 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-47 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-48 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-49 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-50 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-51 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-52 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-53 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-54 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-55 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-56 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-57 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-58 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-59 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-60 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-61 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-62 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-63 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-64 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-65 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-66 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-67 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-68 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-69 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-70 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-71 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-72 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-73 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-74 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-75 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-76 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-77 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-78 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-79 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-80 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-81 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-82 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-83 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-84 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-85 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-86 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-87 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-88 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-89 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-90 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-91 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-92 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-93 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-94 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-95 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-96 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-97 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-98 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-99 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-100 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-101 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-102 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-103 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-104 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-105 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-106 GP5 (ORF5) gene, complete cds
Porcine reproductive and respiratory syndrome virus isolate JBNU-P-2017-107 GP5 (ORF5) gene, complete cds
